Presa;Demarcación;Cauce;Fase;Titular;Provincia
CECEBRE;GALICIA-COSTA;RÍO MERO;Explotación;XUNTA DE GALICIA;Coruña, A
CECLAVIN;TAJO;BARRANCO DE LA DEHESA;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
CEDILLO;;RÍO TAJO;Explotación;IBERDROLA GENERACION S.A.;Cáceres
CEDILLO (COMUNIDAD);TAJO;REGATO DEL PUEBLO;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
CEDRO;LA GOMERA;BARRANCO DEL CEDRO;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
CELEMIN;GUADALETE Y BARBATE;RÍO CELEMÍN;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
CELEMIN;GUADALETE Y BARBATE;;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
CELIN;CUENCAS MEDITERRANEAS ANDALUZAS;VERTIENTE POR LA MARGEN IZQUIERDA DE LA RAMBLA DE ALMECETE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
CEMENTACION;TINTO, ODIEL Y PIEDRAS;ARROYO DE LA JOYA;Explotación;HIJOS VAZQUEZ LOPEZ;Huelva
CENAJO, EL;SEGURA;RIO SEGURA;Explotación;ESTADO;Murcia
CENICERO EN CAÑADA HONDA;CUENCAS MEDITERRANEAS ANDALUZAS;BARRANCO DE CAÑADA HONDA;Explotación;ENDESA GENERACION S.A.;Cádiz
CENTENILLO, EL;GUADALQUIVIR;RÍO GRANDE;Explotación;AYUNTAMIENTO DE LINARES;Jaén
CENTRAL HIDROELECTRICA LA PAZ;TAJO;RÍO CIFUENTES;Explotación;AYUNTAMIENTO DE TRILLO;Guadalajara
CENZA;MIÑO-SIL;RÍO CONSELO OU DA CENZA;Explotación;IBERDROLA GENERACION S.A.;Ourense
CENZA MEDIO;MIÑO-SIL;RÍO CONSELO OU DA CENZA;Explotación;IBERDROLA GENERACION S.A.;Ourense
CERBI;EBRO;RIU D'UNARRE;Explotación;ENDESA GENERACION S.A.;Lleida
CERECEDA;EBRO;RÍO EBRO;Explotación;IBERDROLA GENERACION S.A.;Burgos
CEREZO, EL;GUADIANA;ARROYO DEL CEREZO;Explotación;FELIX HERENCIA GARRIDO;Ciudad Real
CERNADILLA;DUERO;RÍO TERA;Explotación;IBERDROLA GENERACION S.A.;Zamora
CERNADILLA;DUERO;RÍO TERA;Explotación;IBERDROLA GENERACION S.A.;Zamora
CERNADO;MIÑO-SIL;RÍO DE CERNADO;Explotación;IBERDROLA GENERACION S.A.;Ourense
CERQUILLA, LA;TAJO;ARROYO DE SAN JULIÁN;Explotación;FRANCA GIORDANO GRADI;Toledo
CERRATO;DUERO;RÍO PISUERGA;Explotación;INICIATIVAS HIDROELÉCTRICAS, S.A.;Palencia
CERRO ALARCON;TAJO;RÍO PERALES;Explotación;CLUB NAUTICO CERRO ALARCON;Madrid
CERRO COLORADO;SEGURA;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);Murcia
CERRO GORDO 2;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE MASEGOSO;Explotación;AGROCULTIVOS, S.L.;Sevilla
CERRO GORDO 3;GUADALQUIVIR;VERTIENTE POR LA MARGEN DERECHA DEL RÍO CORBONES;Explotación;AGROCULTIVOS, S.L.;Sevilla
CERRO GORDO 4;GUADALQUIVIR;VERTIENTE POR LA MARGEN IZQUIERDA DEL RÍO GUADALQUIVIR;Explotación;AGROCULTIVOS, S.L.;Sevilla
CERTESCANS;EBRO;RIUET DE LA SERRA PLANA;Explotación;ENDESA GENERACION S.A.;Lleida
CERTESCANS;EBRO;RIUET DE LA SERRA PLANA;Explotación;ENDESA GENERACION S.A.;Lleida
CERVERA;DUERO;RÍO RIVERA O VENTANILLA;Explotación;ESTADO;Palencia
CHAMORISCAN;GRAN CANARIA;BARRANCO DE CHAMORISCÁN;Explotación;CDAD. CHAMORISCAN;Palmas, Las
CHANDREXA;MIÑO-SIL;RÍO NAVEA;Explotación;IBERDROLA GENERACION S.A.;Ourense
CHANZA;GUADIANA;RIVERA DE CHANZA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Huelva
CHAPARRAL DE LA CRUZ;GUADALQUIVIR;;Explotación;ANTONIO MARTOS BERMUDEZ;Sevilla
CHAPARRAL, EL;GUADALQUIVIR;ARROYO DE LA CARRASCOSA - SEVILLA;Explotación;JOAQUÍN BARRAL RODRIGUEZ;Sevilla
CHARCA ARROYO DE LA LUZ;TAJO;ARROYO DE LA GRAJUELA DE LA CAÑADA;Explotación;AYUNTAMIENTO DE ARROYO LA LUZ;Cáceres
CHARCA DE ASCANIO;TENERIFE;;Explotación;COMUNIDAD DE REGANTES DE CHARCA ASCANIO;Santa Cruz de Tenerife
CHARCA DE CABO BLANCO;TENERIFE;BARRANCO DE MALPASO;Explotación;MARIA BELLO;Santa Cruz de Tenerife
CHARCA DE LA GENERALA;TAJO;ARROYO DEL VILLAR;Explotación;A. DIEZ DE RIBERA;Cáceres
CHARCA DEL LUGAR;TAJO;ARROYO DE LA CAÑADILLA;Explotación;JUAN MOGOLLON;Cáceres
CHARCA DE TABARES;TENERIFE;BARRANCO DE TABARES;Explotación;ERNESTO GUIMERA GONE;Santa Cruz de Tenerife
CHARCA DON ARTURO;GUADIANA;VERTIENTE POR LA MARGEN IZQUIERDA DEL ARROYO DE VALMAYOR;Explotación;VICENTE PATUEL SANCHEZ DE MOLINA;Badajoz
CHARCA GRANDE;GUADIANA;ARROYO DE LOS GALGOS;Explotación;AYUNTAMIENTO DE ESPARRAGALEJO;Badajoz
CHARCO DEL CURA;TAJO;RÍO ALBERCHE;Explotación;ESTADO;Ávila
CHARCO REDONDO;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO DE LAS CAÑAS O PALMONES;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
CHARCO REDONDO;CUENCAS MEDITERRANEAS ANDALUZAS;BARRANCO DE LAS MAJADILLAS;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
CHARCO SALADO;TAJO;ARROYO PORQUERIZO;Explotación;LA TAURINA DEL NORTE, S.A.;Cáceres
CHARCOS, RAMBLA DE LOS;SEGURA;RAMBLA DE LAS ENTRESIERRAS;Explotación;ESTADO;Albacete
CHAS AS;DUERO;RÍO PORTO DO REI BÚBAL;Explotación;ENEL UNION FENOSA RENOVABLES, S.A.;Ourense
CHAYOFA;TENERIFE;;Explotación;HDOS. S. ANTONIO TEVID;Santa Cruz de Tenerife
CHAYOFA II;TENERIFE;;Explotación;AYUNTAMIENTO DE ARONA;Santa Cruz de Tenerife
CHEJELIPES;LA GOMERA;BARRANCO DE LAS LAJAS;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
CHIMO;EBRO;VALLE DE CHIMO;Explotación;ENDESA GENERACION S.A.;Lleida
CHIPIPI-PACHECAS;GUADALETE Y BARBATE;;Explotación;SEIASA;Cádiz
CHIRA;GRAN CANARIA;BARRANCO DE CHIRA;Explotación;CABILDO DE GRAN CANARIA;Palmas, Las
CID 1;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
CID 2;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
CID 3;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
CID 4;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
CIDACOS;EBRO;RÍO CIDACOS;Explotación;ACUAEBRO;Rioja, La
CIENFUENS;EBRO;RÍO FLUMEN;Explotación;ESTADO;Huesca
CIERVA, LA;SEGURA;RIO MULA;Explotación;ESTADO;Murcia
CIGUAÑA;TENERIFE;VERTIENTE POR LA MARGEN DERECHA DEL BARRANCO CIGÜEÑA;Explotación;COMUNIDAD DE REGANTES;Santa Cruz de Tenerife
CIGUIÑUELAS;GUADIANA;RIO FRIO;Explotación;JUAN CARLOS SERRADILLA MUÑOZ;Toledo
CIJARA;GUADIANA;RIO GUADIANA;Explotación;ESTADO;Cáceres
CILLAPERLATA;EBRO;RÍO EBRO;Explotación;IBERDROLA RENOVABLES ENERGÍA S.A.;Burgos
CINCO OLIVAS;EBRO;RÍO EBRO;Explotación;ELECTRO-METALURGICA DEL EBRO;Zaragoza
CINTADA, LA;TAJO;REGATO DEL GUADARROYO;Explotación;ANTONIO LUÍS COLLADO COLLADO;Cáceres
CIRAT;JUCAR;RIU MIJARES;Explotación;IBERDROLA GENERACION S.A.;Castellón/Castelló
CIUDAD DUCAL;TAJO;ARROYO RETUERTO;Explotación;AYUNTAMIENTO DE LAS NAVAS DEL MARQUES;Ávila
CIURANA;EBRO;RIU DE SIURANA;Explotación;GENERALITAT DE CATALUÑA;Tarragona
CLEDES;EBRO;ETH GARONA;Explotación;ENDESA GENERACION S.A.;Lleida
COBRE, EL;TINTO, ODIEL Y PIEDRAS;ARROYO DEL REJONCILLO;Explotación;MANTESUR ANDEVALO, S.L.;Huelva
COBRE LAS CRUCES;GUADALQUIVIR;ARROYO DEL SERRONCILLO;Explotación;COBRE LAS CRUCES, S.A.;Sevilla
COCOS, LOS;LA GOMERA;BARRANCO JUAN DE VERA;Explotación;HERMANOS ISABEL VEGUERO;Santa Cruz de Tenerife
COGOLLA ALTA;GUADIANA;ARROYO DEL FRESNO;Explotación;ANDRES CABRERA MONTERO Y HERMANOS;Córdoba
COGOLLOS DE GUADIX;GUADALQUIVIR;RAMBLA DEL RINCÓN;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Granada
COHILLA, LA;CANTABRICO OCCIDENTAL;RÍO NANSA;Explotación;SALTOS DEL NANSA, S.A.;Cantabria
COLA Almería;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);
COLADA, LA;GUADIANA;RIO GUADAMATILLA;Explotación;ACUASUR (AGUAS DE LAS CUENCAS DEL SUR);Córdoba
COLA RAMAL 1 Almería;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);
COLA RAMAL 4 Almería;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);
COLGAOS II, LOS;GUADIANA;REGATO DE MATASANOS;Explotación;PARTICULAR;Badajoz
COLGAOS I, LOS;GUADIANA;ARROYO LOS COLGAOS;Explotación;PARTICULAR;Badajoz
COLLADO CANDELA 1;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
COLLADO CANDELA 2;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE MONFORTE DEL CID;Alicante/Alacant
COLOMBO;GUADIANA;CAÑADA DE AGUAS DE VERANO;Explotación;DESCONOCIDO;Huelva
COLOMERA;GUADALQUIVIR;RÍO COLOMERA;Explotación;ESTADO;Granada
COLOMERA;GUADALQUIVIR;RÍO COLOMERA;Explotación;ESTADO;Granada
COLOMINA;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
COMPUERTO;DUERO;RÍO CARRIÓN;Explotación;ESTADO;Palencia
COMUNIDAD DE REGANTES POZO ALCON E HINOJARES (BALSA 1);GUADALQUIVIR;;Explotación;SEIASA;Jaén
CON;GALICIA-COSTA;RÍO DO CON;Explotación;AYUNTAMIENTO DE VIGO;Pontevedra
CONARDA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES BETERA-CANAL PRINCIPAL DEL CAMPO DEL TURIA XV;Valencia/Valéncia
CONCEPCION, LA;GUADALQUIVIR;ARROYO DE LA VÍBORA;Explotación;Mª VICTORIA SAINZ TRUEBA;Sevilla
CONCEPCION, LA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO VERDE;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
CONCHAS, LAS;MIÑO-SIL;RÍO LIMIA;Explotación;NATURGY GENERACIÓN, S.L.U.;Ourense
CONDE DE GUADALHORCE;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO TURÓN;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
CONDE, EL;GRAN CANARIA;BARRANCO DE SALINAS;Explotación;COMUNIDAD DE REGANTES DE GALDAR;Palmas, Las
CONFIANZA, LA;DUERO;RÍO ERESMA;Explotación;NATURENER HIDRO, S.L.U.;Segovia
CONGOSTA DE VIDRIALES;DUERO;ARROYO DE LA VEGA;Explotación;COMUNIDAD DE REGANTES DE CONGOSTA DE VIDRIALES;Zamora
CONTRERAS;JUCAR;RÍO CABRIEL;Explotación;ESTADO;Valencia/Valéncia
CONTRERAS;JUCAR;RÍO CABRIEL;Explotación;ESTADO;Cuenca
CORDIÑANES;CANTABRICO OCCIDENTAL;RÍO CARES;Explotación;NAVARRO GENERACIÓN S.A.;León
CORDOBILLA;GUADALQUIVIR;RÍO GENIL;Explotación;ENDESA GENERACION S.A.;Sevilla
CORNAGO;EBRO;BARRANCO DEL REGAJO;Explotación;AYUNTAMIENTO DE CORNAGO;Rioja, La
CORNALBO;GUADIANA;ARROYO DE ALBARREGAS;Explotación;ESTADO;Badajoz
CORONO, EL;TAJO;ARROYO GODINO;Explotación;ANTONIO BRIZ GONZALEZ;Cáceres
CORRALES DE BUELNA;CANTABRICO OCCIDENTAL;RÍO BESAYA;Explotación;AYUNTAMIENTO DE TORRELAVEGA;Cantabria
CORTES II;JUCAR;RÍO JÚCAR;Explotación;IBERDROLA GENERACION S.A.;Valencia/Valéncia
CORTIJO, EL;EBRO;RÍO EBRO;Explotación;IBERDROLA ENERGÍAS RENOVABLES, S.A. (IBERRENOVA);Araba/Álava
CORTIJO, EL;GRAN CANARIA;BARRANCO DE LOS DOLORES;Explotación;E. HERNANDEZ GUERRA;Palmas, Las
CORTIJO LAS CALDERAS;GUADIANA;ARROYO DE LAS CALDERAS;Explotación;JUAN BLANCO RODRIGUEZ;Córdoba
CORTIJO LA TORRE;GUADALQUIVIR;;Explotación;ALFONSO SERRANO DE TORRES;Jaén
CORTIJO NUEVO;GUADALQUIVIR;ARROYO DEL PERDIGÓN;Explotación;JOSE CERVILLA ORTIZ;Sevilla
CORTIJOS, LOS;GUADIANA;ARROYO DE VALDEIBAÑEZ;Explotación;;Ciudad Real
CORTIJO TAMAYO;CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO LAS MARÍAS;Explotación;CORTIJO TAMAYO S.A.;Málaga
CORUMBEL BAJO;TINTO, ODIEL Y PIEDRAS;RÍO CORUMBEL;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Huelva
CORVERA-SUCINA;SEGURA;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);Murcia
COSCOJA, LA;TAJO;VERTIENTE POR LA MARGEN IZQUIERDA DEL RÍO TAJO;Explotación;A. RODRIGUEZ LOPEZ;Toledo
COSTERA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA VEGA DE XATIVA;Valencia/Valéncia
COSTERA, LA;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE LA VEGA DE XATIVA;Valencia/Valéncia
COTA 220;JUCAR;;Explotación;ESTADO;Castellón/Castelló
COTINO;JUCAR;;Explotación;COMUNIDAD DE REGANTES DE CANAL JUCAR-TURIA SECTOR-4 PICASSENT;Valencia/Valéncia
COVACHAS, LAS;TAJO;;Explotación;SEIASA;Cáceres
COVADONGA 1;TINTO, ODIEL Y PIEDRAS;SIN NOMBRE;Explotación;FRUPALE, S.L.;Huelva
COVADONGA 2;TINTO, ODIEL Y PIEDRAS;SIN NOMBRE;Explotación;FRUPALE, S.L.;Huelva
COVADONGA 4;GUADIANA;;Explotación;FRUPALE, S.L.;Huelva
COVADONGA 5;TINTO, ODIEL Y PIEDRAS;SIN NOMBRE;Explotación;FRUPALE, S.L.;Huelva
COVADONGA 7;TINTO, ODIEL Y PIEDRAS;SIN NOMBRE;Explotación;FRUPALE, S.L.;Huelva
COVETA, LA;JUCAR;;Explotación;PARTICULAR;Alicante/Alacant
CREVILLENTE;SEGURA;BARRANCO DEL BOSCH;Explotación;ESTADO;Alicante/Alacant
CRISTO DE VILLAHIZAN;DUERO;RÍO CUBILLO;Explotación;PARTICULAR;Burgos
CRO-ROBLES;TAJO;;Explotación;SEIASA;Cáceres
CRUZ SANTA;TENERIFE;;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
CUARTOS, GARGANTA DE;TAJO;GARGANTA DE CUARTOS;Explotación;IBERDROLA GENERACION S.A.;Cáceres
CUATERNOS;TAJO;GARGANTA DE CUARTOS;Explotación;IBERDROLA GENERACION S.A.;Cáceres
CUATRO VEGAS;CUENCAS MEDITERRANEAS ANDALUZAS;;Explotación;COMUNIDAD DE REGANTES CUATRO VEGAS;Almería
CUBER;ISLAS BALEARES;TORRENT D'AUMADRÁ;Explotación;GOVERN DE LES ILLES BALEARS;Balears, Illes
CUBIESO;EBRO;EL FLAMISELL;Explotación;ENDESA GENERACION S.A.;Lleida
CUBILAR;GUADIANA;RIO CUBILAR;Explotación;ESTADO;Cáceres
CUBILLAS;GUADALQUIVIR;RÍO CUBILLAS;Explotación;ESTADO;Granada
CUCHILLO;TENERIFE;BARRANCO DE VALLE CRISPÍN;Explotación;COMUNIDAD DE REGANTES;Santa Cruz de Tenerife
CUERDA DEL POZO;DUERO;RÍO DUERO;Explotación;ESTADO;Soria
CUETO;TAJO;RIVERA DE LA MATA;Explotación;D. FERNANDO BURGOS RODRIGUEZ Y OTROS.;Cáceres
CUEVA DE LA MORA;TINTO, ODIEL Y PIEDRAS;RIVERA OLIVARGAS;Explotación;ASTURIANA DE ZINC, S.A.;Huelva
CUEVA DE LAS NIÑAS;GRAN CANARIA;BARRANCO DE MAJADA ALTA;Explotación;CDAD. CUEVA LAS NIÑAS;Palmas, Las
CUEVA FORADADA;EBRO;RÍO MARTÍN;Explotación;ESTADO;Teruel
CUEVA, LA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO O ARROYO DE LA CUEVA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
CUEVAS BLANCAS;GRAN CANARIA;BARRANCO DE LA MADRE DEL AGUA;Explotación;AYUNTAMIENTO DE LAS PALMAS;Palmas, Las
CUEVAS DE ALMANZORA;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO ALMANZORA;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Almería
CULEBRAS, LAS;GUADIANA;RIO ARDILA;Explotación;AYTO. DE VALENCIA DEL VENTOSO;Badajoz
CULEBRIN;GUADALQUIVIR;ARROYO DEL CULEBRÍN;Explotación;GABRIEL ROJAS S.A.;Badajoz
CUMBRE, LA;TAJO;RÍO MAGASQUILLA;Explotación;AYUNTAMIENTO DE LA CUMBRE;Cáceres
CUMBRES DEL CHANZA 1;GUADIANA;;Explotación;DESCONOCIDO;Huelva
CUMBRES DEL CHANZA 2;GUADIANA;ARROYO DE MARI PEDRO;Explotación;DESCONOCIDO;Huelva
CUMBRES DEL CHANZA 3;GUADIANA;BARRANCO DE LOS BAÑUELOS;Explotación;DESCONOCIDO;Huelva
CUMBRES DEL CHANZA 4;GUADIANA;BARRANCO DE LOS BAÑUELOS;Explotación;DESCONOCIDO;Huelva
CURBELLO;TENERIFE;BARRANCO DE LAS SALINAS;Explotación;SDAD. CASA FUERTE;Santa Cruz de Tenerife
DAMA, LA;LA GOMERA;BARRANCO DEGOLLADA DEL HORNO;Explotación;PARTICULAR;Santa Cruz de Tenerife
DAÑADOR;GUADALQUIVIR;RÍO DAÑADOR;Explotación;ESTADO;Jaén
DARNIUS BOADELLA;CUENCAS INTERNAS DE CATALUÑA;EL CÒRREC;Explotación;GENERALITAT DE CATALUÑA;Girona
DARNIUS BOADELLA;CUENCAS INTERNAS DE CATALUÑA;LA MUGA;Explotación;GENERALITAT DE CATALUÑA;Girona
DARNIUS BOADELLA;CUENCAS INTERNAS DE CATALUÑA;LA MUGA;Explotación;GENERALITAT DE CATALUÑA;Girona
DEGOLLADA, LA;EBRO;;Explotación;GOBIERNO DE LA RIOJA;Rioja, La
DEGOLLADA, LA;EBRO;YASA DE LA DEGOLLADA;Explotación;GOBIERNO DE LA RIOJA;Rioja, La
DEGOLLADA, LA;EBRO;YASA DE LA DEGOLLADA;Explotación;GOBIERNO DE LA RIOJA;Rioja, La
DEGOLLADA, LA;EBRO;YASA DE LA DEGOLLADA;Explotación;GOBIERNO DE LA RIOJA;Rioja, La
DEGOLLADA, LA;EBRO;YASA DE LA DEGOLLADA;Explotación;GOBIERNO DE LA RIOJA;Rioja, La
DEHESA DE JUDIEZ;DUERO;RIVERA DE CAMPEÁN O ARROYO DEL REBOLLÍN;Explotación;FIAGA, S.A.;Zamora
DEHESA DE LA NAVA;GUADIANA;ARROYO DEL CHORRERON;Explotación;NAVAGAR S.A.;Badajoz
DEHESA DE LOS CALEROS;GUADALQUIVIR;;Explotación;JUAN RAMIREZ LOPEZ;Sevilla
DEHESA SALGADO;GUADALQUIVIR;ARROYO DEL SALADO - SEVILLA I;Explotación;A. CARRASCO Y F. ALBA;Sevilla
DELFINA ESCANDELLA;JUCAR;;Explotación;IBERALJUSA, S.L;Alicante/Alacant
DEPOSITO CARBONERAS;GUADIANA;VERTIENTE POR LA MARGEN IZQUIERDA DEL RÍO GUADALMEZ;Explotación;EMPRESA Y FINCAS, S.A.;Córdoba
DEPOSITO DE CENIZAS EN ARROYO MANAPEO;TINTO, ODIEL Y PIEDRAS;ARROYO MANAPEO;Explotación;ALMAGRERA S.A.;Huelva
DEPOSITO DE ESTERILES EN ARROYO ASPERON;TINTO, ODIEL Y PIEDRAS;ARROYO ASPERÓN;Explotación;MINAS DE ALMAGRERA;Huelva
DEPOSITO PRESILLA DE ELEVACION (DI-1);CUENCAS MEDITERRANEAS ANDALUZAS;ARROYO DE MIRAFLORES;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Cádiz
DEVA;MIÑO-SIL;RÍO DEVA O GRANDE;Explotación;MINICENTRAL S. MIGUEL S.L.;Ourense
DIQUE PINO;TINTO, ODIEL Y PIEDRAS;VERTIENTE POR LA MARGEN DERECHA DEL ARROYO DE LA TIESA;Explotación;COMPAÑÍA AZUFRE Y COBRE THARSIS;Huelva
DOIRAS;CANTABRICO OCCIDENTAL;RÍO NAVIA;Explotación;ELECTRA DE VIESGO II, S.A.U.;Asturias
DOJUNOSA;GUADIANA;VERTIENTE POR LA MARGEN IZQUIERDA DEL BARRANCO DEL CASAR;Explotación;JUAN TENORIO BORRERO;Huelva
DOLORES;GRAN CANARIA;BARRANCO DE LOS DOLORES;Explotación;F. GUERRA;Palmas, Las
DOMICO;CANTABRICO ORIENTAL;RIO ENDARA;Explotación;MANCOMUNIDAD DE SERVICIOS DE TXINGUDI;Navarra
DOÑA ALDONZA;GUADALQUIVIR;RÍO GUADALQUIVIR;Explotación;ENDESA GENERACION S.A.;Jaén
DOÑA ANA;SEGURA;RAMBLA DE DOÑA ANA MARIA;Explotación;ESTADO;Murcia
DOÑA INES;GUADIANA;ARROYO DE DOÑA INES;Explotación;DOÑA INES S.A.;Ciudad Real
DOÑA LOBA;MIÑO-SIL;CORGO DAS GORBIAS;Explotación;IBERDROLA GENERACION S.A.;Ourense
DON TELLO;GUADIANA;ARROYO DEL TAMUJO;Explotación;SEÑORIO BARIAIN S.A.;Badajoz
DRAGUILLO;GRAN CANARIA;BARRANCO EL DRAGUILLO;Explotación;D.J. LEACOCK;Palmas, Las
DUQUE, EL;DUERO;ARROYO MALILLO O DE SOLANA;Explotación;HIDROJERTE, S.L.U.;Ávila
DURRIA;MIÑO-SIL;ARROYO DE URRIA;Explotación;ENDESA GENERACION S.A.;León
EBRO;EBRO;RÍO EBRO;Explotación;ESTADO;Cantabria
EDRADA-MAO;MIÑO-SIL;RÍO CONSO;Explotación;IBERDROLA GENERACION S.A.;Ourense
EDRADA;MIÑO-SIL;RÍO DE COVAS O DO RODICIO;Explotación;NATURGY GENERACIÓN, S.L.U.;Ourense
EIRAS;GALICIA-COSTA;RÍO OITAVÉN;Explotación;XUNTA DE GALICIA;Pontevedra
EIROS;MIÑO-SIL;ARROYO DE EIRÓS;Explotación;ENDESA GENERACION S.A.;Ourense
EJEME-GALISANCHO;DUERO;;Explotación;SEIASA;Salamanca
EL CASTAÑO;GUADIANA;;Explotación;;Ciudad Real
ELCHE;JUCAR;RÍO VINALOPÓ;Explotación;AYUNTAMIENTO DE ELCHE;Alicante/Alacant
ELDA;JUCAR;RÍO VINALOPÓ;Explotación;AGUAS DE RIEGO DE ELDA;Alicante/Alacant
ELECTROLISIS COBRE I;TINTO, ODIEL Y PIEDRAS;BARRANCO DE LOS DIQUES;Explotación;ELECTROLISIS COBRE S.A.;Huelva
ELECTROLISIS COBRE II;TINTO, ODIEL Y PIEDRAS;BARRANCO DE LOS DIQUES;Explotación;ELECTROLISIS COBRE S.A.;Huelva
El Gachero III;GUADIANA;;Explotación;Francisco Sastre García Rojo;Ciudad Real
ELIPA, LA;TAJO;SIN NOMBRE;Explotación;PATRIMONIOS ESPECIALES;Toledo
EMBID;EBRO;RÍO JALÓN;Explotación;CORPORACIÓN ACCIONA HIDRAULICA, S.L.;Zaragoza
EMBOCADOR, EL;TAJO;RÍO TAJO;Explotación;ESTADO;Madrid
ENCANTADA, LA;GUADALQUIVIR;ARROYO DE LA MATRIZ;Explotación;A. TABOADA JURADO;Córdoba
ENCANTADORA, LA;LA GOMERA;BARRANCO DEL INGENIO;Explotación;GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS;Santa Cruz de Tenerife
ENCARROZ;JUCAR;RÍO SERPIS;Explotación;COMUNIDAD DE REGANTES SINDICATOS CENTRAL RIEGOS ALCOY;Valencia/Valéncia
ENCIN;TAJO;ARROYO ECIM;Explotación;ESTADO;Cáceres
ENCINAREJO;GUADALQUIVIR;RÍO JÁNDULA O FRESNEDA O JORGE;Explotación;ENDESA GENERACION S.A.;Jaén
ENCINAS DE ESGUEVA;DUERO;ARROYO FUENTEOCO O DE LA DEHESA O ERAS;Explotación;COMUNIDAD DE REGANTES DE ENCINAS DE ESGUEVA;Valladolid
ENCINILLA, LA;TAJO;ARROYO ENCINILLA;Explotación;J. BANUS MASDEU;Madrid
ENTREDICHO, EL;GUADIANA;RIO VALDEAZOGUES;Explotación;MINAS DE ALMADEN Y ARRAYANES S.A.;Ciudad Real
ENTREPEÑAS;TAJO;RÍO TAJO;Explotación;ESTADO;Guadalajara
ENTRERRIOS;GUADIANA;RIO GUADIANA;Explotación;IRYDA;Badajoz
