Presa;Demarcación;Cauce;Fase;Titular;Provincia
ALISEDA;TAJO;RIVERA DEL PUEBLO DE ALISEDA;Explotación;JUNTA DE EXTREMADURA, CONSEJERÍA DE FOMENTO, VIVIENDA ORDENACIÓN TERRITORIO Y TURISMO;Cáceres
ALISEDAS, LAS;GUADIANA;ARROYO DE LA HUERTA DE LA ORGANERA;Explotación;CERGA, S.L.;Ciudad Real
ALLOZ;EBRO;RÍO SALADO;Explotación;IBERDROLA ENERGÍAS RENOVABLES, S.A. (IBERRENOVA);Navarra
ALLOZ;EBRO;RÍO SALADO;Explotación;ESTADO;Navarra
ALMADENES;SEGURA;RIO SEGURA;Explotación;IBERDROLA GENERACION S.A.;Murcia
ALMAGROS, LOS;SEGURA;;Explotación;AGUAS DE LAS CUENCAS MEDITERRANEAS, S.A. (ACUAMED, S.A.);Murcia
ALMANCHARES;CUENCAS MEDITERRANEAS ANDALUZAS;RÍO ALMANCHARES;Explotación;JUNTA DE ANDALUCIA. AGENCIA ANDALUZA DEL AGUA;Málaga
ALMANSA;JUCAR;RAMBLA DEL PANTANO;Explotación;AYUNTAMIENTO DE ALMANSA;Albacete
ALMARAIL;DUERO;RÍO DUERO;Explotación;ESTADO;Soria
ALMENDRA;DUERO;RÍO TORMES;Explotación;IBERDROLA GENERACION S.A.;Zamora
ALMENDRA Zamora;DUERO;RÍO TORMES;Explotación;IBERDROLA GENERACION S.A.;
ALMENDRA Zamora;DUERO;REGATO DE LOS ORILLEROS;Explotación;IBERDROLA GENERACION S.A.;
ALMENDRA Salamanca;DUERO;RÍO TORMES;Explotación;IBERDROLA GENERACION S.A.;
ALMENDRICOS;SEGURA;;Explotación;URCISOL;Murcia
ALMENDRO, EL;GUADIANA;RIVERA DE LA ESPADA;Explotación;DIPUTACION DE HUELVA;Huelva
ALMERIQUES, LOS;GUADALETE Y BARBATE;ARROYO DE LOS ALMERIQUES;Explotación;ANTONIO CARO SERRANO;Cádiz
ALMOCHUEL;EBRO;RÍO AGUASVIVAS;Explotación;ESTADO;Zaragoza
