,fecha,comunidad_autonoma,tmed,tmax,velmedia,sol,generation,inst_Solar_térmica
294,2015-01-17,CATALUNA,5.067,9.975,1.894,4.0,29.818,24.29
297,2015-01-17,COMUNITAT VALENCIANA,7.201,12.867,2.947,4.0,129.213,49.9
298,2015-01-17,EXTREMADURA,3.92,8.94,1.334,3.0,1669.828,849.0
305,2015-01-17,REGION DE MURCIA,8.11,14.16,2.878,4.0,44.728,31.4
306,2015-01-18,ANDALUCIA,6.636,9.809,3.274,1.0,100.237,1000.02
311,2015-01-18,CASTILLA-LA MANCHA,1.163,4.271,2.034,1.0,35.301,349.4
312,2015-01-18,CATALUNA,4.186,9.708,2.4,3.0,1.307,24.29
315,2015-01-18,COMUNITAT VALENCIANA,5.389,11.567,1.725,2.0,5.666,49.9
316,2015-01-18,EXTREMADURA,5.49,7.23,3.458,1.0,73.216,849.0
323,2015-01-18,REGION DE MURCIA,5.53,11.71,1.511,2.0,1.961,31.4
324,2015-01-19,ANDALUCIA,7.407,10.86,3.599,3.0,2116.086,1000.02
329,2015-01-19,CASTILLA-LA MANCHA,2.618,6.323,3.469,3.0,745.23,349.4
330,2015-01-19,CATALUNA,4.84,6.602,2.131,1.0,27.601,24.29
333,2015-01-19,COMUNITAT VALENCIANA,5.971,7.901,3.539,1.0,119.605,49.9
334,2015-01-19,EXTREMADURA,6.438,10.465,4.395,4.0,1545.663,849.0
341,2015-01-19,REGION DE MURCIA,7.47,9.17,2.933,1.0,41.402,31.4
342,2015-01-20,ANDALUCIA,5.34,9.433,1.896,2.0,369.897,1000.02
347,2015-01-20,CASTILLA-LA MANCHA,2.032,6.211,1.946,3.0,130.268,349.4
348,2015-01-20,CATALUNA,4.733,8.342,1.962,2.0,4.825,24.29
351,2015-01-20,COMUNITAT VALENCIANA,5.52,10.169,2.536,3.0,20.907,49.9
352,2015-01-20,EXTREMADURA,3.835,6.598,1.85,1.0,270.185,849.0
359,2015-01-20,REGION DE MURCIA,7.54,12.56,2.322,3.0,7.237,31.4
360,2015-01-21,ANDALUCIA,6.198,10.134,3.445,3.0,809.169,1000.02
365,2015-01-21,CASTILLA-LA MANCHA,2.442,5.933,3.127,2.0,284.968,349.4
366,2015-01-21,CATALUNA,4.142,8.712,1.779,2.0,10.554,24.29
369,2015-01-21,COMUNITAT VALENCIANA,6.52,11.918,3.355,3.0,45.736,49.9
370,2015-01-21,EXTREMADURA,4.646,8.945,3.792,2.0,591.045,849.0
377,2015-01-21,REGION DE MURCIA,7.74,13.58,3.444,4.0,15.832,31.4
378,2015-01-22,ANDALUCIA,7.971,11.445,3.927,4.0,1835.403,1000.02
383,2015-01-22,CASTILLA-LA MANCHA,3.49,7.103,3.667,3.0,646.381,349.4
384,2015-01-22,CATALUNA,4.55,9.356,2.604,4.0,23.94,24.29
387,2015-01-22,COMUNITAT VALENCIANA,6.839,11.03,3.469,3.0,103.74,49.9
388,2015-01-22,EXTREMADURA,7.45,11.536,3.933,3.0,1340.642,849.0
395,2015-01-22,REGION DE MURCIA,8.78,12.28,5.156,4.0,35.91,31.4
396,2015-01-23,ANDALUCIA,7.743,12.656,2.096,4.0,3739.938,1000.02
401,2015-01-23,CASTILLA-LA MANCHA,3.378,8.69,3.138,4.0,1317.108,349.4
402,2015-01-23,CATALUNA,5.519,11.51,3.91,4.0,48.782,24.29
405,2015-01-23,COMUNITAT VALENCIANA,7.698,12.458,4.105,5.0,211.388,49.9
406,2015-01-23,EXTREMADURA,7.544,12.635,1.875,3.0,2731.78,849.0
413,2015-01-23,REGION DE MURCIA,9.13,13.71,4.0,4.0,73.173,31.4
414,2015-01-24,ANDALUCIA,7.271,13.166,2.287,4.0,4840.24,1000.02
419,2015-01-24,CASTILLA-LA MANCHA,3.427,10.561,2.328,4.0,1704.606,349.4
420,2015-01-24,CATALUNA,6.516,12.367,3.967,4.0,63.134,24.29
423,2015-01-24,COMUNITAT VALENCIANA,8.244,14.121,3.725,4.0,273.579,49.9
424,2015-01-24,EXTREMADURA,6.014,12.96,1.592,4.0,3535.48,849.0
431,2015-01-24,REGION DE MURCIA,8.74,14.55,2.956,4.0,94.7,31.4
432,2015-01-25,ANDALUCIA,9.51,16.4,2.861,4.0,5382.716,1000.02
437,2015-01-25,CASTILLA-LA MANCHA,5.92,12.632,2.82,4.0,1895.652,349.4
438,2015-01-25,CATALUNA,7.129,12.138,5.431,4.0,70.209,24.29
441,2015-01-25,COMUNITAT VALENCIANA,9.485,15.307,3.755,5.0,304.24,49.9
442,2015-01-25,EXTREMADURA,8.19,16.28,1.616,4.0,3931.723,849.0
449,2015-01-25,REGION DE MURCIA,11.15,17.13,2.933,5.0,105.314,31.4
450,2015-01-26,ANDALUCIA,9.818,16.609,1.791,5.0,5452.33,1000.02
455,2015-01-26,CASTILLA-LA MANCHA,5.727,13.207,1.63,4.0,1920.168,349.4
456,2015-01-26,CATALUNA,5.5,9.746,2.173,2.0,71.117,24.29
459,2015-01-26,COMUNITAT VALENCIANA,7.829,13.956,2.208,4.0,308.175,49.9
460,2015-01-26,EXTREMADURA,9.162,16.922,1.8,4.0,3982.571,849.0
467,2015-01-26,REGION DE MURCIA,9.29,16.11,1.722,4.0,106.676,31.4
468,2015-01-27,ANDALUCIA,10.079,16.696,1.916,5.0,3849.365,1000.02
473,2015-01-27,CASTILLA-LA MANCHA,6.265,12.768,2.727,4.0,1355.646,349.4
474,2015-01-27,CATALUNA,6.798,11.406,3.256,2.0,50.209,24.29
477,2015-01-27,COMUNITAT VALENCIANA,9.696,16.545,3.383,4.0,217.573,49.9
478,2015-01-27,EXTREMADURA,8.608,16.19,1.45,4.0,2811.71,849.0
485,2015-01-27,REGION DE MURCIA,10.17,17.11,2.578,4.0,75.314,31.4
486,2015-01-28,ANDALUCIA,10.425,16.786,2.134,5.0,4511.456,1000.02
491,2015-01-28,CASTILLA-LA MANCHA,6.427,13.525,2.239,4.0,1588.817,349.4
492,2015-01-28,CATALUNA,6.764,11.869,2.286,4.0,58.845,24.29
495,2015-01-28,COMUNITAT VALENCIANA,9.621,15.44,2.592,5.0,254.995,49.9
496,2015-01-28,EXTREMADURA,7.97,15.12,1.88,4.0,3295.325,849.0
503,2015-01-28,REGION DE MURCIA,11.71,17.61,2.478,4.0,88.268,31.4
504,2015-01-29,ANDALUCIA,9.312,14.621,3.411,3.0,866.781,1000.02
509,2015-01-29,CASTILLA-LA MANCHA,6.087,12.262,4.301,3.0,305.258,349.4
510,2015-01-29,CATALUNA,8.712,14.2,3.594,3.0,11.306,24.29
513,2015-01-29,COMUNITAT VALENCIANA,12.011,18.798,4.944,3.0,48.992,49.9
514,2015-01-29,EXTREMADURA,9.62,14.55,4.976,2.0,633.127,849.0
521,2015-01-29,REGION DE MURCIA,12.62,20.04,3.222,4.0,16.959,31.4
522,2015-01-30,ANDALUCIA,13.491,15.709,5.979,2.0,64.825,1000.02
