value,percentage,datetime
756207.487,1,2015-06-25T00:00:00.000+02:00
773092.054,1,2015-06-26T00:00:00.000+02:00
718758.663,1,2015-06-27T00:00:00.000+02:00
668290.933,1,2015-06-28T00:00:00.000+02:00
802343.029,1,2015-06-29T00:00:00.000+02:00
825913.225,1,2015-06-30T00:00:00.000+02:00
818165.82,1,2015-07-01T00:00:00.000+02:00
807298.837,1,2015-07-02T00:00:00.000+02:00
813047.623,1,2015-07-03T00:00:00.000+02:00
735000.465,1,2015-07-04T00:00:00.000+02:00
690986.862,1,2015-07-05T00:00:00.000+02:00
833841.194,1,2015-07-06T00:00:00.000+02:00
866486.534,1,2015-07-07T00:00:00.000+02:00
861343.857,1,2015-07-08T00:00:00.000+02:00
842680.316,1,2015-07-09T00:00:00.000+02:00
830759.229,1,2015-07-10T00:00:00.000+02:00
740508.641,1,2015-07-11T00:00:00.000+02:00
681004.161,1,2015-07-12T00:00:00.000+02:00
824914.33,1,2015-07-13T00:00:00.000+02:00
849611.333,1,2015-07-14T00:00:00.000+02:00
854102.621,1,2015-07-15T00:00:00.000+02:00
852063.23,1,2015-07-16T00:00:00.000+02:00
849281.647,1,2015-07-17T00:00:00.000+02:00
753322.967,1,2015-07-18T00:00:00.000+02:00
684999.194,1,2015-07-19T00:00:00.000+02:00
841224.942,1,2015-07-20T00:00:00.000+02:00
865146.926,1,2015-07-21T00:00:00.000+02:00
856068.072,1,2015-07-22T00:00:00.000+02:00
851979.445,1,2015-07-23T00:00:00.000+02:00
843688.292,1,2015-07-24T00:00:00.000+02:00
730897.456,1,2015-07-25T00:00:00.000+02:00
673201.906,1,2015-07-26T00:00:00.000+02:00
816558.257,1,2015-07-27T00:00:00.000+02:00
833869.765,1,2015-07-28T00:00:00.000+02:00
844723.001,1,2015-07-29T00:00:00.000+02:00
819958.886,1,2015-07-30T00:00:00.000+02:00
779003.323,1,2015-07-31T00:00:00.000+02:00
680361.086,1,2015-08-01T00:00:00.000+02:00
635796.261,1,2015-08-02T00:00:00.000+02:00
774254.262,1,2015-08-03T00:00:00.000+02:00
786083.344,1,2015-08-04T00:00:00.000+02:00
794417.385,1,2015-08-05T00:00:00.000+02:00
793688.217,1,2015-08-06T00:00:00.000+02:00
801217.924,1,2015-08-07T00:00:00.000+02:00
711363.27,1,2015-08-08T00:00:00.000+02:00
636476.179,1,2015-08-09T00:00:00.000+02:00
744364.123,1,2015-08-10T00:00:00.000+02:00
762740.052,1,2015-08-11T00:00:00.000+02:00
767721.94,1,2015-08-12T00:00:00.000+02:00
753532.812,1,2015-08-13T00:00:00.000+02:00
713319.001,1,2015-08-14T00:00:00.000+02:00
621537.814,1,2015-08-15T00:00:00.000+02:00
594535.379,1,2015-08-16T00:00:00.000+02:00
697936.416,1,2015-08-17T00:00:00.000+02:00
706652.476,1,2015-08-18T00:00:00.000+02:00
709229.608,1,2015-08-19T00:00:00.000+02:00
731671.914,1,2015-08-20T00:00:00.000+02:00
745031.982,1,2015-08-21T00:00:00.000+02:00
675418.314,1,2015-08-22T00:00:00.000+02:00
614465.919,1,2015-08-23T00:00:00.000+02:00
710603.426,1,2015-08-24T00:00:00.000+02:00
735562.748,1,2015-08-25T00:00:00.000+02:00
752911.303,1,2015-08-26T00:00:00.000+02:00
764243.524,1,2015-08-27T00:00:00.000+02:00
768622.78,1,2015-08-28T00:00:00.000+02:00
700909.286,1,2015-08-29T00:00:00.000+02:00
653032.965,1,2015-08-30T00:00:00.000+02:00
782342.091,1,2015-08-31T00:00:00.000+02:00
781600.481,1,2015-09-01T00:00:00.000+02:00
773137.955,1,2015-09-02T00:00:00.000+02:00
755240.694,1,2015-09-03T00:00:00.000+02:00
732691.965,1,2015-09-04T00:00:00.000+02:00
645794.998,1,2015-09-05T00:00:00.000+02:00
591063.167,1,2015-09-06T00:00:00.000+02:00
699849.007,1,2015-09-07T00:00:00.000+02:00
702432.005,1,2015-09-08T00:00:00.000+02:00
722409.942,1,2015-09-09T00:00:00.000+02:00
728505.804,1,2015-09-10T00:00:00.000+02:00
701623.09,1,2015-09-11T00:00:00.000+02:00
652086.767,1,2015-09-12T00:00:00.000+02:00
599682.057,1,2015-09-13T00:00:00.000+02:00
703998.29,1,2015-09-14T00:00:00.000+02:00
721881.88,1,2015-09-15T00:00:00.000+02:00
731468.57,1,2015-09-16T00:00:00.000+02:00
716961.823,1,2015-09-17T00:00:00.000+02:00
709624.619,1,2015-09-18T00:00:00.000+02:00
641702.928,1,2015-09-19T00:00:00.000+02:00
590658.05,1,2015-09-20T00:00:00.000+02:00
709595.849,1,2015-09-21T00:00:00.000+02:00
729247.244,1,2015-09-22T00:00:00.000+02:00
725527.873,1,2015-09-23T00:00:00.000+02:00
716022.639,1,2015-09-24T00:00:00.000+02:00
713482.173,1,2015-09-25T00:00:00.000+02:00
641495.081,1,2015-09-26T00:00:00.000+02:00
588066.446,1,2015-09-27T00:00:00.000+02:00
699250.72,1,2015-09-28T00:00:00.000+02:00
712306.712,1,2015-09-29T00:00:00.000+02:00
709938.298,1,2015-09-30T00:00:00.000+02:00
710340.362,1,2015-10-01T00:00:00.000+02:00
710143.781,1,2015-10-02T00:00:00.000+02:00
637119.214,1,2015-10-03T00:00:00.000+02:00
591918.854,1,2015-10-04T00:00:00.000+02:00
714002.393,1,2015-10-05T00:00:00.000+02:00
721391.469,1,2015-10-06T00:00:00.000+02:00
712141.884,1,2015-10-07T00:00:00.000+02:00
708634.682,1,2015-10-08T00:00:00.000+02:00
689071.367,1,2015-10-09T00:00:00.000+02:00
624383.868,1,2015-10-10T00:00:00.000+02:00
577053.306,1,2015-10-11T00:00:00.000+02:00
591151.662,1,2015-10-12T00:00:00.000+02:00
693736.095,1,2015-10-13T00:00:00.000+02:00
702326.943,1,2015-10-14T00:00:00.000+02:00
701629.47,1,2015-10-15T00:00:00.000+02:00
702415.798,1,2015-10-16T00:00:00.000+02:00
634734.343,1,2015-10-17T00:00:00.000+02:00
585855.092,1,2015-10-18T00:00:00.000+02:00
701795.134,1,2015-10-19T00:00:00.000+02:00
714150.506,1,2015-10-20T00:00:00.000+02:00
708063.51,1,2015-10-21T00:00:00.000+02:00
706492.648,1,2015-10-22T00:00:00.000+02:00
