,comunidad_autonoma,type,month,value
143,Aragón,Hidráulica,2015-12-01T00:00:00.000+01:00,1338.293
144,Aragón,Turbinación bombeo,2015-01-01T00:00:00.000+01:00,219.14
145,Aragón,Turbinación bombeo,2015-02-01T00:00:00.000+01:00,219.14
146,Aragón,Turbinación bombeo,2015-03-01T00:00:00.000+01:00,219.14
147,Aragón,Turbinación bombeo,2015-04-01T00:00:00.000+02:00,219.14
148,Aragón,Turbinación bombeo,2015-05-01T00:00:00.000+02:00,219.14
149,Aragón,Turbinación bombeo,2015-06-01T00:00:00.000+02:00,219.14
150,Aragón,Turbinación bombeo,2015-07-01T00:00:00.000+02:00,219.14
151,Aragón,Turbinación bombeo,2015-08-01T00:00:00.000+02:00,219.14
152,Aragón,Turbinación bombeo,2015-09-01T00:00:00.000+02:00,219.14
153,Aragón,Turbinación bombeo,2015-10-01T00:00:00.000+02:00,219.14
154,Aragón,Turbinación bombeo,2015-11-01T00:00:00.000+01:00,219.14
155,Aragón,Turbinación bombeo,2015-12-01T00:00:00.000+01:00,219.14
156,Aragón,Carbón,2015-01-01T00:00:00.000+01:00,1055.77
157,Aragón,Carbón,2015-02-01T00:00:00.000+01:00,1055.77
158,Aragón,Carbón,2015-03-01T00:00:00.000+01:00,1055.77
159,Aragón,Carbón,2015-04-01T00:00:00.000+02:00,1055.77
160,Aragón,Carbón,2015-05-01T00:00:00.000+02:00,1055.77
161,Aragón,Carbón,2015-06-01T00:00:00.000+02:00,1055.77
162,Aragón,Carbón,2015-07-01T00:00:00.000+02:00,1055.77
163,Aragón,Carbón,2015-08-01T00:00:00.000+02:00,1055.77
164,Aragón,Carbón,2015-09-01T00:00:00.000+02:00,1055.77
165,Aragón,Carbón,2015-10-01T00:00:00.000+02:00,1055.77
166,Aragón,Carbón,2015-11-01T00:00:00.000+01:00,1055.77
167,Aragón,Carbón,2015-12-01T00:00:00.000+01:00,1055.77
168,Aragón,Ciclo combinado,2015-01-01T00:00:00.000+01:00,1869.67
169,Aragón,Ciclo combinado,2015-02-01T00:00:00.000+01:00,1869.67
